
---------- Begin Simulation Statistics ----------
final_tick                                13488851285                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 115485                       # Simulator instruction rate (inst/s)
host_mem_usage                                 661008                       # Number of bytes of host memory used
host_op_rate                                   230218                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    97.77                       # Real time elapsed on the host
host_tick_rate                              137970295                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    11290577                       # Number of instructions simulated
sim_ops                                      22507585                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.013489                       # Number of seconds simulated
sim_ticks                                 13488851285                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   8126464                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  6524478                       # number of cc regfile writes
system.cpu.committedInsts                    11290577                       # Number of Instructions Simulated
system.cpu.committedOps                      22507585                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               2.625714                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         2.625714                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   9617679                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  9569915                       # number of floating regfile writes
system.cpu.idleCycles                           39653                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                29143                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1625522                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.021358                       # Inst execution rate
system.cpu.iew.exec_refs                     12455194                       # number of memory reference insts executed
system.cpu.iew.exec_stores                      26751                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 7268654                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               4870083                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  1                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              4393                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                27431                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            22871152                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              12428443                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             58021                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              30278989                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  47280                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4265330                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  25417                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4385898                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             15                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         1460                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          27683                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  23421197                       # num instructions consuming a value
system.cpu.iew.wb_count                      22637879                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.727665                       # average fanout of values written-back
system.cpu.iew.wb_producers                  17042774                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.763611                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22640213                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 36293490                       # number of integer regfile reads
system.cpu.int_regfile_writes                11392558                       # number of integer regfile writes
system.cpu.ipc                               0.380849                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.380849                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               793      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              11498804     37.90%     37.91% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.00%     37.91% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    22      0.00%     37.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             3204580     10.56%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  208      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   48      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 219      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     48.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         1594432      5.26%     53.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     53.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     53.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     53.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     53.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     53.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        1569860      5.17%     58.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     58.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     58.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     58.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     58.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     58.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     58.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     58.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     58.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     58.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     58.90% # Type of FU issued
